Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
06:06:3E:89:41:23, 2018-05-31 10:41:08, 2018-05-31 10:44:53, -69,        3, (not associated) ,
24:F0:94:E9:80:94, 2018-05-31 10:23:57, 2018-05-31 10:44:55, -82,       26, 7C:95:F3:54:C1:E0,
7C:5C:F8:C7:AE:84, 2018-05-31 10:42:50, 2018-05-31 10:44:55, -92,        2, (not associated) ,
2E:50:71:23:0A:D0, 2018-05-31 10:44:41, 2018-05-31 10:44:41, -55,        2, (not associated) ,
12:97:58:96:58:A3, 2018-05-31 10:44:42, 2018-05-31 10:44:42, -86,        1, (not associated) ,
B4:AE:2B:D8:35:C0, 2018-05-31 10:43:24, 2018-05-31 10:44:46, -89,        6, (not associated) ,
DA:A1:19:21:CD:E0, 2018-05-31 10:44:33, 2018-05-31 10:44:33, -81,        1, (not associated) ,
6C:40:08:70:6F:9B, 2018-05-31 10:44:32, 2018-05-31 10:44:32, -88,        1, (not associated) ,
42:D7:A4:D2:67:7D, 2018-05-31 10:44:09, 2018-05-31 10:44:22, -52,        6, (not associated) ,
54:13:79:8D:BF:DB, 2018-05-31 10:21:59, 2018-05-31 10:44:19, -76,       41, 7C:95:F3:CC:55:52,
D0:25:98:88:80:92, 2018-05-31 10:26:37, 2018-05-31 10:44:18, -80,        5, (not associated) ,
B0:19:C6:CE:3F:AE, 2018-05-31 10:28:55, 2018-05-31 10:44:05, -87,        3, (not associated) ,PSU
A4:5E:60:E1:6A:61, 2018-05-31 10:28:10, 2018-05-31 10:43:55, -76,       34, (not associated) ,PSU Guest,PSU Secure,Starbucks WiFi
E4:F8:9C:34:3C:21, 2018-05-31 10:21:12, 2018-05-31 10:43:57, -80,       17, (not associated) ,PSU Guest
00:B3:62:97:F7:0C, 2018-05-31 10:39:07, 2018-05-31 10:43:53, -89,        5, (not associated) ,PSU Secure
D2:3F:D6:AC:2C:BF, 2018-05-31 10:43:46, 2018-05-31 10:43:46, -78,        2, (not associated) ,
70:70:0D:24:7C:54, 2018-05-31 10:24:23, 2018-05-31 10:43:46, -78,      185, 7C:95:F3:CC:BC:52,PSU Secure
3E:1A:2C:8F:96:2E, 2018-05-31 10:43:42, 2018-05-31 10:43:42, -84,        3, (not associated) ,
6A:0A:09:12:AB:43, 2018-05-31 10:43:29, 2018-05-31 10:43:29, -84,        2, (not associated) ,
98:FE:94:4F:9A:FE, 2018-05-31 10:23:00, 2018-05-31 10:43:31, -84,       19, 04:C5:A4:C2:8F:42,PSU Secure,CGN3-27B8
9C:5C:F9:46:02:BF, 2018-05-31 10:30:42, 2018-05-31 10:43:33, -86,        2, (not associated) ,
F8:28:19:EB:08:E1, 2018-05-31 10:35:13, 2018-05-31 10:43:34, -87,        4, (not associated) ,PSU Secure
DC:A4:CA:70:AF:EE, 2018-05-31 10:43:32, 2018-05-31 10:43:32, -91,        3, F4:1F:C2:E6:27:2D,
9E:E0:75:64:6F:F3, 2018-05-31 10:43:22, 2018-05-31 10:43:22, -46,        3, (not associated) ,
16:04:EC:B5:FB:20, 2018-05-31 10:43:17, 2018-05-31 10:43:17, -84,        2, (not associated) ,
5A:B2:F3:17:D3:EF, 2018-05-31 10:43:05, 2018-05-31 10:43:05, -60,        2, (not associated) ,
9C:F3:87:A6:21:1C, 2018-05-31 10:42:17, 2018-05-31 10:43:08, -65,       13, (not associated) ,
86:00:8C:48:09:98, 2018-05-31 10:43:10, 2018-05-31 10:43:10, -69,        1, (not associated) ,
80:58:F8:3A:3E:4B, 2018-05-31 10:43:08, 2018-05-31 10:43:08, -72,        2, (not associated) ,
E6:18:ED:71:74:71, 2018-05-31 10:42:56, 2018-05-31 10:42:56, -59,        1, (not associated) ,
2A:96:7F:9F:19:B9, 2018-05-31 10:42:56, 2018-05-31 10:42:57, -70,        3, (not associated) ,
28:F0:76:57:FE:E2, 2018-05-31 10:42:54, 2018-05-31 10:42:54, -71,        3, (not associated) ,
FC:2D:5E:82:BF:51, 2018-05-31 10:21:56, 2018-05-31 10:42:53, -77,       37, 50:17:FF:9E:61:10,PSU
BA:43:A2:5D:6F:2A, 2018-05-31 10:42:56, 2018-05-31 10:42:56, -78,        1, (not associated) ,
DA:A1:19:27:6F:DF, 2018-05-31 10:42:58, 2018-05-31 10:42:58, -81,        8, (not associated) ,
FA:27:77:51:96:C4, 2018-05-31 10:42:45, 2018-05-31 10:42:45, -45,        6, (not associated) ,
82:34:48:3D:8F:30, 2018-05-31 10:42:41, 2018-05-31 10:42:41, -68,        2, (not associated) ,
28:F0:76:57:FF:2E, 2018-05-31 10:42:42, 2018-05-31 10:42:42, -69,        7, (not associated) ,
00:24:D7:25:2E:0C, 2018-05-31 10:23:13, 2018-05-31 10:42:34, -57,       78, (not associated) ,PSU Secure
C8:1E:E7:7D:3C:DF, 2018-05-31 10:40:04, 2018-05-31 10:42:32, -63,       41, 04:C5:A4:92:E5:10,PSU
0E:89:52:14:91:B2, 2018-05-31 10:42:32, 2018-05-31 10:42:32, -79,        2, (not associated) ,
A4:D1:8C:E1:1F:3E, 2018-05-31 10:42:26, 2018-05-31 10:42:33, -79,        7, (not associated) ,
48:D7:05:CE:AA:83, 2018-05-31 10:29:15, 2018-05-31 10:42:20, -52,       45, (not associated) ,PSU Secure
A2:D7:53:1E:30:12, 2018-05-31 10:42:17, 2018-05-31 10:42:18, -56,        5, (not associated) ,
7E:06:3B:A4:5B:44, 2018-05-31 10:42:17, 2018-05-31 10:42:17, -58,        4, (not associated) ,
84:41:67:14:2E:8E, 2018-05-31 10:39:49, 2018-05-31 10:42:22, -69,       90, 04:C5:A4:C2:8B:4F,PSU
62:A1:F4:6E:4D:4F, 2018-05-31 10:42:20, 2018-05-31 10:42:20, -71,        3, (not associated) ,
80:58:F8:7D:C1:AC, 2018-05-31 10:42:22, 2018-05-31 10:42:22, -81,        1, (not associated) ,
80:58:F8:12:0E:F9, 2018-05-31 10:42:22, 2018-05-31 10:42:22, -82,        1, (not associated) ,
34:02:86:21:B1:55, 2018-05-31 10:36:04, 2018-05-31 10:42:17, -83,        6, (not associated) ,PSU Secure
DA:A1:19:7A:0B:9B, 2018-05-31 10:42:18, 2018-05-31 10:42:18, -89,        2, (not associated) ,
4C:18:9A:5E:39:35, 2018-05-31 10:20:48, 2018-05-31 10:42:05, -55,       35, (not associated) ,PSU,8610
DA:A1:19:44:86:3A, 2018-05-31 10:42:05, 2018-05-31 10:42:05, -57,        1, (not associated) ,
0E:4C:2D:64:DB:6B, 2018-05-31 10:42:06, 2018-05-31 10:42:06, -64,        3, (not associated) ,
DA:A1:19:2C:5F:6B, 2018-05-31 10:42:09, 2018-05-31 10:42:09, -71,       11, (not associated) ,
02:2F:42:BB:84:63, 2018-05-31 10:42:05, 2018-05-31 10:42:05, -71,        4, (not associated) ,
D0:04:01:36:6F:B1, 2018-05-31 10:40:51, 2018-05-31 10:42:05, -79,       15, (not associated) ,
72:B4:DF:BE:07:A8, 2018-05-31 10:25:41, 2018-05-31 10:42:09, -84,       15, (not associated) ,
BA:47:74:6B:0E:63, 2018-05-31 10:42:07, 2018-05-31 10:42:07, -85,        2, (not associated) ,
68:C4:4D:B9:6D:C4, 2018-05-31 10:42:08, 2018-05-31 10:42:08, -86,        1, (not associated) ,
02:DB:9D:0C:2F:C9, 2018-05-31 10:42:05, 2018-05-31 10:42:05, -86,        3, (not associated) ,
7E:85:99:E7:FB:37, 2018-05-31 10:41:56, 2018-05-31 10:41:56, -68,        2, (not associated) ,
FC:DB:B3:4B:BD:BF, 2018-05-31 10:23:46, 2018-05-31 10:41:55, -69,       19, C0:62:6B:67:65:20,
C8:3C:85:B2:A0:6F, 2018-05-31 10:41:56, 2018-05-31 10:41:56, -78,       18, 04:C5:A4:C2:8B:42,
8C:79:67:A5:36:1C, 2018-05-31 10:37:01, 2018-05-31 10:41:55, -85,       38, 58:BC:27:12:66:F0,
DA:A1:19:31:0B:73, 2018-05-31 10:41:58, 2018-05-31 10:41:58, -86,        1, (not associated) ,
7A:BC:CC:AF:03:F3, 2018-05-31 10:41:56, 2018-05-31 10:41:56, -86,        1, (not associated) ,
