
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
7C:95:F3:55:53:D2, 2018-05-24 13:56:58, 2018-05-24 13:56:58, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C4:7D:4F:53:25:93, 2018-05-24 13:37:22, 2018-05-24 13:56:58, 11,  54, WPA2, CCMP, MGT, -81,      311,        0,   0.  0.  0.  0,   7, eduroam, 
C4:7D:4F:53:27:31, 2018-05-24 13:37:22, 2018-05-24 13:56:58, 11,  54, OPN, ,   , -81,      150,        0,   0.  0.  0.  0,   9, PSU Guest, 
50:17:FF:9E:02:F3, 2018-05-24 13:37:22, 2018-05-24 13:57:20,  6,  54, WPA2, CCMP, MGT, -81,      207,       10,   0.  0.  0.  0,   7, eduroam, 
50:17:FF:9E:02:F1, 2018-05-24 13:37:22, 2018-05-24 13:57:20,  6,  54, OPN, ,   , -81,      193,        0,   0.  0.  0.  0,   9, PSU Guest, 
C4:7D:4F:53:27:30, 2018-05-24 13:37:22, 2018-05-24 13:56:58, 11,  54, OPN, ,   , -82,      185,        5,   0.  0.  0.  0,   3, PSU, 
7C:95:F3:72:DE:F1, 2018-05-24 13:37:33, 2018-05-24 13:56:58,  6,  54, OPN, ,   , -82,       51,        0,   0.  0.  0.  0,   9, PSU Guest, 
7C:95:F3:72:DE:F0, 2018-05-24 13:37:29, 2018-05-24 13:56:58,  6,  54, OPN, ,   , -82,       58,        0,   0.  0.  0.  0,   3, PSU, 
50:17:FF:9E:02:F2, 2018-05-24 13:37:22, 2018-05-24 13:57:20,  6,  54, WPA2, CCMP, MGT, -82,      199,      122,   0.  0.  0.  0,  10, PSU Secure, 
7C:95:F3:72:DE:F3, 2018-05-24 13:37:29, 2018-05-24 13:56:58,  6,  54, WPA2, CCMP, MGT, -83,       39,        0,   0.  0.  0.  0,   7, eduroam, 
C0:25:5C:68:7F:E0, 2018-05-24 13:40:42, 2018-05-24 13:56:58, 11,  54, OPN, ,   , -85,        1,        1,   0.  0.  0.  0,   3, PSU, 
BC:F1:F2:7A:C3:C2, 2018-05-24 13:43:31, 2018-05-24 13:56:17,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
44:AD:D9:C6:73:42, 2018-05-24 13:40:42, 2018-05-24 13:54:53,  1,  -1, WPA, ,   ,  -1,        0,        7,   0.  0.  0.  0,   0, , 
00:27:0D:48:BF:9D, 2018-05-24 13:53:44, 2018-05-24 13:53:44,  9,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
7C:95:F3:CC:BB:AF, 2018-05-24 13:53:18, 2018-05-24 13:53:18,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
50:17:FF:9E:06:42, 2018-05-24 13:52:47, 2018-05-24 13:52:58, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C0:25:5C:78:5F:61, 2018-05-24 13:46:25, 2018-05-24 13:52:19, 11,  54, OPN, ,   , -85,        2,        1,   0.  0.  0.  0,   9, PSU Guest, 
C0:25:5C:68:7F:E2, 2018-05-24 13:43:33, 2018-05-24 13:52:05, 11,  -1, WPA, ,   , -86,        0,        8,   0.  0.  0.  0,   0, , 
50:17:FF:9E:63:C2, 2018-05-24 13:46:26, 2018-05-24 13:51:44,  1,  -1, WPA, ,   ,  -1,        0,       10,   0.  0.  0.  0,   0, , 
