Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C0:EE:FB:33:F0:E4, 2018-05-25 13:51:32, 2018-05-25 13:54:35, -77,        4, 08:1F:F3:22:B1:62,
DC:EF:CA:55:8A:98, 2018-05-25 13:51:29, 2018-05-25 13:54:38, -83,       24, 50:17:FF:9E:51:42,
60:02:B4:55:33:45, 2018-05-25 13:50:59, 2018-05-25 13:54:39, -83,       29, BC:F1:F2:7A:C3:C2,PSU Secure
38:71:DE:53:C9:82, 2018-05-25 13:35:38, 2018-05-25 13:54:38, -86,       13, 7C:95:F3:CC:6E:A0,PSU
46:1D:B4:1F:C1:AA, 2018-05-25 13:54:28, 2018-05-25 13:54:28, -54,        1, (not associated) ,
EE:23:97:0E:F6:94, 2018-05-25 13:54:12, 2018-05-25 13:54:12, -72,        1, (not associated) ,
AC:37:43:A6:ED:8F, 2018-05-25 13:53:43, 2018-05-25 13:54:16, -77,       10, 7C:95:F3:CC:67:12,
DC:4F:22:10:91:D3, 2018-05-25 13:51:53, 2018-05-25 13:54:13, -84,       13, 62:98:AD:32:F1:A8,
18:65:90:65:6A:DC, 2018-05-25 13:54:01, 2018-05-25 13:54:01, -71,        1, (not associated) ,
3C:AB:8E:45:20:88, 2018-05-25 13:30:40, 2018-05-25 13:53:48, -54,       17, C0:25:5C:78:5F:30,PSU
E4:CE:8F:5E:09:E2, 2018-05-25 13:53:46, 2018-05-25 13:53:48, -74,        3, (not associated) ,
2C:0E:3D:8E:C7:CD, 2018-05-25 13:53:40, 2018-05-25 13:53:40, -78,        3, 7C:95:F3:01:FE:00,
B8:53:AC:D9:7E:AE, 2018-05-25 13:53:39, 2018-05-25 13:53:39, -85,        1, (not associated) ,PSU Secure
0C:51:01:33:D9:03, 2018-05-25 13:51:06, 2018-05-25 13:53:13, -85,        3, 50:17:FF:9E:02:F2,PSU Secure
D0:13:FD:38:25:32, 2018-05-25 13:53:01, 2018-05-25 13:53:01,  -1,        2, C0:25:5C:60:C3:72,
DA:A1:19:57:85:82, 2018-05-25 13:53:02, 2018-05-25 13:53:02, -68,        2, (not associated) ,
6C:19:C0:A6:84:07, 2018-05-25 13:51:39, 2018-05-25 13:53:01, -87,        6, 50:17:FF:9E:02:F2,
C0:38:96:6F:F6:5B, 2018-05-25 13:36:51, 2018-05-25 13:52:52, -88,        5, (not associated) ,
38:94:96:FE:F5:CB, 2018-05-25 13:30:58, 2018-05-25 13:52:35, -72,       20, 46:32:C8:5F:86:C6,xfinitywifi
D4:63:C6:86:14:C8, 2018-05-25 13:52:39, 2018-05-25 13:52:39, -77,        1, (not associated) ,
D4:63:C6:B0:3E:29, 2018-05-25 13:52:39, 2018-05-25 13:52:39, -77,        1, (not associated) ,
D4:63:C6:2D:84:38, 2018-05-25 13:52:39, 2018-05-25 13:52:39, -81,        2, (not associated) ,
D4:63:C6:CC:30:1B, 2018-05-25 13:52:25, 2018-05-25 13:52:25, -77,        1, (not associated) ,PSU Guest
B8:27:EB:BD:97:1B, 2018-05-25 13:52:24, 2018-05-25 13:52:24, -87,        1, (not associated) ,
30:52:CB:2B:C7:0F, 2018-05-25 13:52:15, 2018-05-25 13:52:15, -67,        2, (not associated) ,
DA:A1:19:74:58:69, 2018-05-25 13:52:14, 2018-05-25 13:52:14, -68,        5, (not associated) ,
A8:BB:CF:14:A0:BA, 2018-05-25 13:51:57, 2018-05-25 13:52:15, -74,        2, BC:F1:F2:7A:C3:C2,
30:F7:72:27:06:5D, 2018-05-25 13:52:13, 2018-05-25 13:52:13, -88,        3, (not associated) ,
AC:5F:3E:B1:36:7D, 2018-05-25 13:50:42, 2018-05-25 13:52:14, -88,       20, 7C:95:F3:CC:67:12,
FC:DB:B3:6C:9C:54, 2018-05-25 13:33:51, 2018-05-25 13:52:15, -91,       66, 7C:95:F3:CC:6E:A2,PSU Secure
84:41:67:36:B1:09, 2018-05-25 13:52:01, 2018-05-25 13:52:01, -64,        2, (not associated) ,
E0:5F:45:6B:2C:F9, 2018-05-25 13:52:01, 2018-05-25 13:52:01, -71,        2, (not associated) ,PSU
3E:3C:74:38:07:B4, 2018-05-25 13:50:59, 2018-05-25 13:52:00, -76,       16, 00:25:00:FF:94:73,
5A:4D:ED:BE:C8:9B, 2018-05-25 13:52:02, 2018-05-25 13:52:02, -79,        1, (not associated) ,
FE:FA:36:FC:DE:36, 2018-05-25 13:52:00, 2018-05-25 13:52:00, -79,        2, (not associated) ,
08:ED:B9:5B:D6:B9, 2018-05-25 13:51:46, 2018-05-25 13:52:00, -79,       40, C0:25:5C:78:5E:92,
74:DF:BF:8C:62:21, 2018-05-25 13:30:36, 2018-05-25 13:52:04, -81,       40, 68:BC:0C:2D:5A:A2,PSU Secure
8A:DD:E4:22:F9:CD, 2018-05-25 13:52:03, 2018-05-25 13:52:03, -82,        1, (not associated) ,
16:29:62:A0:87:75, 2018-05-25 13:52:04, 2018-05-25 13:52:04, -86,        1, (not associated) ,Rhinohammer1
DE:6F:59:FA:FC:1E, 2018-05-25 13:52:02, 2018-05-25 13:52:02, -86,        2, (not associated) ,
9A:0D:9B:1A:57:CE, 2018-05-25 13:51:59, 2018-05-25 13:51:59, -86,        2, (not associated) ,
28:C2:DD:4B:19:92, 2018-05-25 13:49:43, 2018-05-25 13:52:00, -86,       27, 7C:95:F3:72:DE:F2,PSU Secure
1E:79:A7:90:6F:38, 2018-05-25 13:52:04, 2018-05-25 13:52:04, -88,        1, (not associated) ,
54:F2:01:6A:4E:6F, 2018-05-25 13:51:50, 2018-05-25 13:51:50, -62,        1, BC:F1:F2:7A:C3:C2,
2C:0E:3D:C6:8A:D3, 2018-05-25 13:30:45, 2018-05-25 13:51:49, -83,       18, 64:D9:89:F6:10:F2,
00:08:CA:E6:BB:26, 2018-05-25 13:51:46, 2018-05-25 13:51:48, -85,        2, (not associated) ,PSU Secure
EC:1F:72:78:CB:BD, 2018-05-25 13:51:48, 2018-05-25 13:51:48, -87,        3, (not associated) ,attwifi
10:08:B1:60:BB:35, 2018-05-25 13:51:35, 2018-05-25 13:51:35, -59,        4, (not associated) ,
30:6A:85:8A:2A:2A, 2018-05-25 13:51:35, 2018-05-25 13:51:35, -76,        2, (not associated) ,
34:F3:9A:B3:7A:18, 2018-05-25 13:51:38, 2018-05-25 13:51:38, -82,        2, (not associated) ,PSU Secure
9C:B6:D0:EA:4F:BB, 2018-05-25 13:51:03, 2018-05-25 13:51:40, -84,       13, (not associated) ,
94:DB:C9:98:3F:AB, 2018-05-25 13:51:37, 2018-05-25 13:51:37, -85,        1, (not associated) ,PSU
88:B4:A6:0B:26:1D, 2018-05-25 13:39:54, 2018-05-25 13:51:40, -90,       28, (not associated) ,
2C:F0:A2:5D:47:9A, 2018-05-25 13:50:52, 2018-05-25 13:51:28, -40,      341, BC:F1:F2:7A:BA:C0,PSU
DE:98:D7:20:E0:05, 2018-05-25 13:51:24, 2018-05-25 13:51:24, -66,        1, (not associated) ,
4C:EB:42:40:06:0A, 2018-05-25 13:30:33, 2018-05-25 13:51:25, -66,      358, BC:F1:F2:7A:BA:C0,
EA:0E:E1:AF:B0:07, 2018-05-25 13:51:27, 2018-05-25 13:51:28, -75,        4, (not associated) ,
5C:AD:CF:1B:2C:20, 2018-05-25 13:51:13, 2018-05-25 13:51:13, -70,        1, 00:27:0D:48:BF:92,
24:DA:9B:09:73:6C, 2018-05-25 13:46:57, 2018-05-25 13:51:14, -75,       84, C4:7D:4F:53:25:92,PSU Secure
20:D1:60:14:66:9A, 2018-05-25 13:32:09, 2018-05-25 13:50:59,  -1,      190, 50:17:FF:9E:06:42,
