Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
10:F1:F2:90:45:50, 2018-05-25 15:44:47, 2018-05-25 15:47:44, -59,        2, 50:17:FF:9E:00:D0,
0E:D8:C7:A1:5D:CF, 2018-05-25 15:47:46, 2018-05-25 15:47:46, -81,        1, (not associated) ,
BA:01:FB:AF:20:FD, 2018-05-25 15:47:43, 2018-05-25 15:47:43, -84,        2, (not associated) ,
68:05:71:53:79:90, 2018-05-25 15:33:29, 2018-05-25 15:47:46, -87,        2, (not associated) ,
A6:A3:25:C0:DF:28, 2018-05-25 15:47:32, 2018-05-25 15:47:32, -65,        3, (not associated) ,
BA:56:1B:2F:D7:EA, 2018-05-25 15:47:35, 2018-05-25 15:47:35, -80,        1, (not associated) ,
00:1C:BF:66:C0:40, 2018-05-25 15:27:41, 2018-05-25 15:47:32, -87,        5, (not associated) ,PSU
D0:E1:40:9F:C4:BC, 2018-05-25 15:42:29, 2018-05-25 15:47:36, -89,        4, (not associated) ,PSU Secure
F0:03:8C:AA:B6:E7, 2018-05-25 15:24:47, 2018-05-25 15:47:35, -89,      138, F4:1F:C2:BE:9F:E0,
AE:FC:A3:B3:D4:6D, 2018-05-25 15:47:19, 2018-05-25 15:47:19, -81,        2, (not associated) ,
B0:48:1A:88:0F:F5, 2018-05-25 15:25:49, 2018-05-25 15:47:22, -86,       18, 04:C5:A4:C2:D8:3E,PSU Guest
D4:61:9D:19:E8:F6, 2018-05-25 15:47:12, 2018-05-25 15:47:12, -43,        4, (not associated) ,
D4:DC:CD:B6:48:FD, 2018-05-25 15:46:22, 2018-05-25 15:47:07, -68,       14, (not associated) ,PSU Secure
96:0C:6B:3A:F0:C9, 2018-05-25 15:47:08, 2018-05-25 15:47:08, -70,        5, (not associated) ,
8E:89:DF:09:0F:A7, 2018-05-25 15:47:07, 2018-05-25 15:47:07, -87,        1, (not associated) ,
1A:EB:50:30:7A:F2, 2018-05-25 15:46:54, 2018-05-25 15:46:55, -64,        3, (not associated) ,
24:92:0E:F4:60:48, 2018-05-25 15:23:28, 2018-05-25 15:46:46, -63,       34, (not associated) ,PSU
46:D7:C3:58:F9:7D, 2018-05-25 15:46:43, 2018-05-25 15:46:44, -64,        3, (not associated) ,
00:1A:EF:58:76:32, 2018-05-25 15:24:08, 2018-05-25 15:46:45, -67,        5, 04:C5:A4:C2:8C:32,
30:35:AD:AE:A8:7A, 2018-05-25 15:27:53, 2018-05-25 15:46:43, -71,       11, (not associated) ,
14:10:9F:DC:51:A7, 2018-05-25 15:42:12, 2018-05-25 15:46:44, -73,       17, 04:C5:A4:C2:8C:B2,PSU Secure
D0:A6:37:E6:0C:66, 2018-05-25 15:28:00, 2018-05-25 15:46:45, -75,       22, (not associated) ,PSU
98:CA:33:44:79:A9, 2018-05-25 15:28:07, 2018-05-25 15:46:45, -80,       21, 04:C5:A4:C2:91:90,PSU
18:59:36:0E:1F:15, 2018-05-25 15:23:57, 2018-05-25 15:46:45, -86,       73, 04:C5:A4:C2:D8:32,BkXP-JCFkZGhAbnQga0AkbGV5,WiPG-1000,AeroDynamic,prasanth p,Inteliment,ShriniwasCP,IMFS-THANE,Cisco32695,speednet,ftmiwrgqxnk-a2adp
AE:22:B7:57:0B:84, 2018-05-25 15:46:34, 2018-05-25 15:46:34, -61,        3, (not associated) ,TMobileWingman
0E:26:E9:AD:5A:07, 2018-05-25 15:46:31, 2018-05-25 15:46:31, -72,        4, (not associated) ,
64:A5:C3:53:27:C8, 2018-05-25 15:24:50, 2018-05-25 15:48:49, -82,       16, (not associated) ,PSU
0E:19:31:C6:B8:AD, 2018-05-25 15:45:47, 2018-05-25 15:46:35, -84,        9, (not associated) ,
AC:BC:32:92:D7:B3, 2018-05-25 15:46:34, 2018-05-25 15:46:34, -88,        2, (not associated) ,attwifi,Oscarisawesome-5
FA:D3:E7:02:E2:A3, 2018-05-25 15:46:16, 2018-05-25 15:46:20, -75,        2, (not associated) ,
C4:9D:ED:17:EB:11, 2018-05-25 15:46:19, 2018-05-25 15:46:19, -80,        2, (not associated) ,
62:82:0C:B6:B3:D6, 2018-05-25 15:46:12, 2018-05-25 15:46:12, -47,        2, (not associated) ,
30:63:6B:8D:B7:29, 2018-05-25 15:36:50, 2018-05-25 15:46:09, -77,       16, C0:25:5C:68:7F:00,PSU
F4:5C:89:BC:CA:D5, 2018-05-25 15:41:51, 2018-05-25 15:46:07, -80,       54, 7C:95:F3:CC:BC:52,FTRSecure_4920_7337,KaiserGuest,AHPublic,PSU Secure,Google Starbucks,OHSU-Guest,xfinitywifi,ReedXenia,ParkAveCafe,HP-Print-B4-LaserJet 1102
88:1F:A1:D8:8A:2B, 2018-05-25 15:40:12, 2018-05-25 15:46:12, -81,        2, (not associated) ,
7C:5C:F8:C7:AE:84, 2018-05-25 15:29:29, 2018-05-25 15:46:08, -85,        8, (not associated) ,
56:25:9D:DF:4B:39, 2018-05-25 15:43:36, 2018-05-25 15:46:00, -59,       33, (not associated) ,
EC:1F:72:72:E4:11, 2018-05-25 15:25:12, 2018-05-25 15:45:57, -60,      162, (not associated) ,elleflow,attwifi,wireless,PSU Secure
AC:5F:3E:46:32:B0, 2018-05-25 15:23:35, 2018-05-25 15:45:56, -80,       22, (not associated) ,BH-Home
26:BA:DD:6A:B8:30, 2018-05-25 15:45:58, 2018-05-25 15:45:58, -81,        1, (not associated) ,
AC:BC:32:9C:6F:EB, 2018-05-25 15:34:55, 2018-05-25 15:45:59, -82,       15, (not associated) ,
00:FC:8B:F0:A0:A3, 2018-05-25 15:30:45, 2018-05-25 15:45:58, -83,        8, C0:25:5C:1F:CC:72,
08:E6:89:33:77:1A, 2018-05-25 15:44:14, 2018-05-25 15:45:44, -81,        5, C0:25:5C:68:7F:02,PSU Secure
68:C4:4D:EC:A0:1B, 2018-05-25 15:45:46, 2018-05-25 15:45:46, -85,        1, (not associated) ,
40:4D:7F:DA:04:DF, 2018-05-25 15:31:39, 2018-05-25 15:45:32, -67,        6, (not associated) ,PSU
F6:4A:CC:B9:F2:A1, 2018-05-25 15:45:32, 2018-05-25 15:45:32, -82,        3, (not associated) ,
9E:A7:6F:17:82:91, 2018-05-25 15:45:35, 2018-05-25 15:45:35, -84,        1, (not associated) ,Amazon-GP7
2E:EB:E8:2D:BA:60, 2018-05-25 15:45:21, 2018-05-25 15:45:21, -73,        3, (not associated) ,
36:06:45:80:97:5B, 2018-05-25 15:45:09, 2018-05-25 15:45:10, -82,        3, (not associated) ,
88:B4:A6:6C:2F:D0, 2018-05-25 15:45:09, 2018-05-25 15:45:10, -83,        7, (not associated) ,
88:B4:A6:BB:A4:32, 2018-05-25 15:45:07, 2018-05-25 15:45:07, -84,        1, (not associated) ,
88:B4:A6:59:B0:3E, 2018-05-25 15:44:58, 2018-05-25 15:44:58, -77,        1, (not associated) ,
B0:48:7A:CF:78:AE, 2018-05-25 15:24:45, 2018-05-25 15:44:55, -87,        7, (not associated) ,PSU
B0:48:1A:8A:D6:5E, 2018-05-25 15:44:57, 2018-05-25 15:44:57, -89,        2, (not associated) ,PSU
54:4E:90:D4:30:EB, 2018-05-25 15:44:28, 2018-05-25 15:44:43, -86,       12, 04:C5:A4:C2:8F:E2,PSU Secure
DA:A1:19:31:C3:74, 2018-05-25 15:44:48, 2018-05-25 15:44:48, -89,        2, (not associated) ,
38:CA:DA:08:40:74, 2018-05-25 15:36:07, 2018-05-25 15:44:32, -76,       41, 7C:95:F3:CC:BC:52,PSU Secure
7A:F4:40:BC:F5:4D, 2018-05-25 15:44:35, 2018-05-25 15:44:35, -82,        2, (not associated) ,Amazon-GP7
0E:AB:C4:B5:97:3B, 2018-05-25 15:44:21, 2018-05-25 15:44:21, -42,        3, (not associated) ,
5A:D1:A3:5C:48:43, 2018-05-25 15:44:09, 2018-05-25 15:44:09, -51,       17, (not associated) ,TMobileWingman,Apple Setup
9C:B6:D0:D2:8A:8B, 2018-05-25 15:34:45, 2018-05-25 15:44:11, -60,        7, (not associated) ,
9E:8B:1A:70:C9:A9, 2018-05-25 15:44:07, 2018-05-25 15:44:07, -74,        1, (not associated) ,
B8:86:87:B8:09:5E, 2018-05-25 15:25:20, 2018-05-25 15:44:09, -86,        5, 44:E4:D9:BD:83:02,PSU Secure
2E:54:6F:DF:D9:7E, 2018-05-25 15:44:10, 2018-05-25 15:44:10, -87,        1, (not associated) ,
AE:75:0B:9F:D5:8A, 2018-05-25 15:43:59, 2018-05-25 15:43:59, -49,       17, (not associated) ,Apple Setup,TMobileWingman
24:F6:77:25:3F:60, 2018-05-25 15:25:12, 2018-05-25 15:44:00, -80,       16, 04:C5:A4:C2:93:D1,PSU Guest
A6:22:47:5B:8F:26, 2018-05-25 15:43:55, 2018-05-25 15:43:55, -83,        2, (not associated) ,Amazon-GP7
82:B7:31:0F:31:64, 2018-05-25 15:43:46, 2018-05-25 15:43:46, -68,        4, (not associated) ,
EA:20:0A:FF:00:4C, 2018-05-25 15:43:31, 2018-05-25 15:43:31, -67,        1, (not associated) ,
BA:3B:30:5B:FF:54, 2018-05-25 15:43:34, 2018-05-25 15:43:34, -73,        3, (not associated) ,
20:EE:28:9D:CC:CA, 2018-05-25 15:25:15, 2018-05-25 15:43:36, -79,       34, 70:DF:2F:EE:92:8F,PSU
2C:20:0B:C0:62:D3, 2018-05-25 15:43:21, 2018-05-25 15:43:21,  -1,        1, 04:C5:A4:C2:8C:32,
8A:05:7D:B1:8F:BC, 2018-05-25 15:43:18, 2018-05-25 15:43:19, -60,       13, (not associated) ,TMobileWingman,Apple Setup
86:B3:B5:00:D2:32, 2018-05-25 15:43:18, 2018-05-25 15:43:19, -65,        4, (not associated) ,
D2:8C:B6:37:84:6F, 2018-05-25 15:43:21, 2018-05-25 15:43:21, -69,        1, (not associated) ,
72:0F:0F:BA:65:13, 2018-05-25 15:43:20, 2018-05-25 15:43:21, -85,        2, (not associated) ,KEENRetail
92:DB:C4:6B:DE:B1, 2018-05-25 15:40:57, 2018-05-25 15:43:12, -59,        6, (not associated) ,
F6:3E:B4:28:C8:1F, 2018-05-25 15:43:10, 2018-05-25 15:43:11, -64,        5, (not associated) ,
B8:08:CF:60:A0:56, 2018-05-25 15:43:06, 2018-05-25 15:43:07, -78,        2, (not associated) ,PSU Secure
B0:19:C6:BF:F7:52, 2018-05-25 15:43:10, 2018-05-25 15:43:10, -82,        2, (not associated) ,PSU Secure
AC:5F:3E:99:C8:36, 2018-05-25 15:40:17, 2018-05-25 15:43:09, -83,        5, (not associated) ,
00:21:6A:E6:B9:82, 2018-05-25 15:42:58, 2018-05-25 15:42:58, -81,        1, (not associated) ,PSU Secure
EE:2A:24:E1:9B:1F, 2018-05-25 15:42:55, 2018-05-25 15:42:55, -86,        1, (not associated) ,
B2:62:58:DA:71:1C, 2018-05-25 15:42:59, 2018-05-25 15:42:59, -87,        1, (not associated) ,
70:F0:87:44:FB:31, 2018-05-25 15:42:46, 2018-05-25 15:42:46, -84,        7, 70:DF:2F:EE:A9:2D,PSU Secure
D0:2B:20:A3:65:04, 2018-05-25 15:41:59, 2018-05-25 15:41:59, -88,        7, 04:C5:A4:C2:8B:B0,
BA:7F:66:72:F8:08, 2018-05-25 15:41:47, 2018-05-25 15:41:47, -86,        1, (not associated) ,TMobileWingman
