Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AC:81:12:47:3C:50, 2018-05-25 14:05:13, 2018-05-25 14:29:14, -48,       16, 00:26:CB:AB:0A:30,
D8:C4:6A:8A:11:19, 2018-05-25 14:09:51, 2018-05-25 14:28:59, -64,      178, 00:26:CB:AA:E3:0E,event0402,PSU Secure,PSU Guest
6C:72:E7:AE:AF:D0, 2018-05-25 14:05:20, 2018-05-25 14:28:59, -81,        6, (not associated) ,
2A:46:30:A8:36:FD, 2018-05-25 14:29:01, 2018-05-25 14:29:01, -87,        1, (not associated) ,
FA:EE:22:57:48:EE, 2018-05-25 14:29:00, 2018-05-25 14:29:00, -87,        1, (not associated) ,
DE:7F:95:3A:89:83, 2018-05-25 14:28:50, 2018-05-25 14:28:50, -53,        2, (not associated) ,
B0:CA:68:51:18:D4, 2018-05-25 14:28:48, 2018-05-25 14:28:49, -75,        4, 00:26:CB:AB:0A:32,PSU Secure
2C:0E:3D:89:BA:ED, 2018-05-25 14:04:25, 2018-05-25 14:28:35, -60,      125, 00:27:0D:07:51:21,PSU Guest
E2:F5:8A:CE:6D:6B, 2018-05-25 14:28:34, 2018-05-25 14:28:34, -84,        1, (not associated) ,
DC:A9:04:3F:52:86, 2018-05-25 14:10:16, 2018-05-25 14:30:19, -87,      661, 00:27:0D:07:51:20,PSU
88:B4:A6:A4:69:65, 2018-05-25 14:28:22, 2018-05-25 14:28:22, -72,        2, (not associated) ,
88:B4:A6:49:2C:7C, 2018-05-25 14:24:43, 2018-05-25 14:28:21, -75,        2, 00:26:CB:AA:E4:40,
C2:23:D5:E6:15:53, 2018-05-25 14:28:26, 2018-05-25 14:28:26, -79,        1, (not associated) ,
2C:20:0B:20:57:A0, 2018-05-25 14:14:11, 2018-05-25 14:28:24, -84,       41, 00:26:CB:AA:DF:42,PSU Secure
DA:A1:19:D7:7C:5A, 2018-05-25 14:28:24, 2018-05-25 14:28:24, -87,        1, (not associated) ,Lamp
9C:E3:3F:1A:4E:C0, 2018-05-25 14:04:39, 2018-05-25 14:28:00, -76,       55, 00:27:0D:07:51:22,PSU Secure
DC:85:DE:2B:A1:1B, 2018-05-25 14:07:56, 2018-05-25 14:27:59, -88,      105, C8:B3:73:36:B9:4E,
C0:1A:DA:4F:38:7D, 2018-05-25 14:12:53, 2018-05-25 14:28:00, -89,      161, 00:27:0D:07:51:20,PSU
D0:81:7A:75:9E:40, 2018-05-25 14:14:43, 2018-05-25 14:27:34, -81,        4, 7C:95:F3:CC:AC:62,PSU Secure
EA:A0:63:F3:76:9A, 2018-05-25 14:27:38, 2018-05-25 14:27:38, -82,        1, (not associated) ,
6C:40:08:5B:1C:5A, 2018-05-25 14:04:45, 2018-05-25 14:27:21, -87,       34, 00:27:0D:07:51:22,PSU Secure
88:66:A5:69:2B:61, 2018-05-25 14:27:22, 2018-05-25 14:27:22, -89,        1, (not associated) ,PSU Secure
BA:30:3E:CC:48:FE, 2018-05-25 14:27:12, 2018-05-25 14:27:12, -71,        2, (not associated) ,
38:71:DE:93:0F:12, 2018-05-25 14:25:11, 2018-05-25 14:27:09, -89,        5, 06:1D:D6:A8:D8:80,xfinitywifi
1E:47:F5:77:A7:C1, 2018-05-25 14:27:10, 2018-05-25 14:27:10, -90,        1, (not associated) ,
7C:04:D0:3A:89:4D, 2018-05-25 14:26:08, 2018-05-25 14:26:58, -61,       31, DC:FE:07:90:B3:79,
E0:98:61:EC:18:73, 2018-05-25 14:18:08, 2018-05-25 14:26:58, -74,      120, (not associated) ,ZOOBOTECO2
06:6D:A2:B2:F7:CC, 2018-05-25 14:27:01, 2018-05-25 14:27:01, -84,        1, (not associated) ,
6C:71:D9:41:82:11, 2018-05-25 14:05:54, 2018-05-25 14:27:02, -88,        7, (not associated) ,
76:6F:4E:C6:9A:45, 2018-05-25 14:26:50, 2018-05-25 14:26:50, -76,        1, (not associated) ,
1A:BA:6E:8C:2C:DF, 2018-05-25 14:26:46, 2018-05-25 14:26:46, -76,        1, (not associated) ,
1A:90:78:3D:C9:84, 2018-05-25 14:26:47, 2018-05-25 14:26:47, -83,        1, (not associated) ,
40:4E:36:20:C1:7E, 2018-05-25 14:19:14, 2018-05-25 14:26:50, -83,       46, 00:27:0D:07:51:20,
3A:D2:37:B6:11:03, 2018-05-25 14:26:36, 2018-05-25 14:26:37, -42,        5, (not associated) ,
54:33:CB:91:60:BF, 2018-05-25 14:19:52, 2018-05-25 14:26:35, -63,       25, 00:00:00:00:00:00,PSU Secure
46:FD:37:81:66:F0, 2018-05-25 14:26:33, 2018-05-25 14:26:33, -76,        2, (not associated) ,
3E:00:CD:05:68:8C, 2018-05-25 14:26:34, 2018-05-25 14:26:35, -84,        2, (not associated) ,
4C:66:41:A1:BE:03, 2018-05-25 14:09:40, 2018-05-25 14:26:37, -84,       41, 00:26:CB:AB:0B:60,PSU
D0:2B:20:CD:A5:B3, 2018-05-25 14:05:32, 2018-05-25 14:26:26, -64,       53, 00:26:CB:AA:E4:42,PSU Secure
C0:A5:3E:10:37:D7, 2018-05-25 14:07:53, 2018-05-25 14:26:22, -77,       14, (not associated) ,
52:3D:45:23:91:50, 2018-05-25 14:26:10, 2018-05-25 14:26:10, -80,        1, (not associated) ,
5A:27:03:1B:0D:BE, 2018-05-25 14:26:12, 2018-05-25 14:26:12, -83,        2, (not associated) ,
16:BF:9A:10:2A:30, 2018-05-25 14:25:50, 2018-05-25 14:25:50, -83,        2, (not associated) ,
22:C2:D2:E5:39:AC, 2018-05-25 14:25:45, 2018-05-25 14:25:45, -83,        3, (not associated) ,
DA:A1:19:9D:E2:2B, 2018-05-25 14:25:37, 2018-05-25 14:25:37, -85,        1, (not associated) ,
5E:18:43:67:30:4D, 2018-05-25 14:25:23, 2018-05-25 14:25:23, -72,        2, (not associated) ,
FE:72:A4:BB:47:93, 2018-05-25 14:25:25, 2018-05-25 14:25:25, -79,        1, (not associated) ,
A4:08:EA:68:25:F8, 2018-05-25 14:04:27, 2018-05-25 14:25:25, -86,        2, (not associated) ,attwifi
B8:1D:AA:AB:C7:D7, 2018-05-25 14:25:26, 2018-05-25 14:25:26, -90,        1, (not associated) ,PSU
4E:07:C2:EE:99:0E, 2018-05-25 14:24:59, 2018-05-25 14:24:59, -48,        2, (not associated) ,
5E:71:FE:FB:F0:1D, 2018-05-25 14:24:57, 2018-05-25 14:24:57, -75,        2, (not associated) ,
1E:62:DB:74:F9:F0, 2018-05-25 14:24:48, 2018-05-25 14:24:49, -47,        4, (not associated) ,
72:40:F4:0E:99:9C, 2018-05-25 14:24:44, 2018-05-25 14:24:45, -74,        3, (not associated) ,
BA:35:80:EF:D6:01, 2018-05-25 14:24:33, 2018-05-25 14:24:34, -39,        5, (not associated) ,
36:E0:34:FF:A1:47, 2018-05-25 14:24:37, 2018-05-25 14:24:37, -71,        2, (not associated) ,
B2:93:07:00:E2:9A, 2018-05-25 14:24:33, 2018-05-25 14:24:34, -73,        2, (not associated) ,
46:ED:EF:6A:5A:E7, 2018-05-25 14:24:34, 2018-05-25 14:24:34, -90,        1, (not associated) ,
82:76:EA:3F:A8:71, 2018-05-25 14:24:24, 2018-05-25 14:24:24, -54,        2, (not associated) ,
DA:A1:19:DA:DF:15, 2018-05-25 14:24:24, 2018-05-25 14:24:24, -68,        3, (not associated) ,
AE:C0:67:F1:15:99, 2018-05-25 14:24:24, 2018-05-25 14:24:24, -78,        3, (not associated) ,
12:BC:9D:36:C7:2F, 2018-05-25 14:24:22, 2018-05-25 14:24:22, -92,        1, (not associated) ,
AE:4C:08:2E:8A:10, 2018-05-25 14:24:01, 2018-05-25 14:24:01, -85,        1, (not associated) ,
1C:1A:C0:C5:DD:F2, 2018-05-25 14:04:28, 2018-05-25 14:23:45, -69,       85, 00:27:0D:07:51:20,
08:E6:89:BF:D7:D4, 2018-05-25 14:15:27, 2018-05-25 14:23:48, -74,        6, 00:27:0D:07:54:12,PSU Secure
88:36:5F:DC:D3:36, 2018-05-25 14:13:33, 2018-05-25 14:23:36, -86,       14, (not associated) ,
48:27:EA:4B:04:23, 2018-05-25 14:22:45, 2018-05-25 14:23:36, -87,       32, (not associated) ,perkins guest,PerkinsGuest
8C:45:00:21:65:79, 2018-05-25 14:23:34, 2018-05-25 14:23:34, -88,        2, (not associated) ,Google Starbucks
88:19:08:78:C5:44, 2018-05-25 14:23:33, 2018-05-25 14:23:33, -90,        1, (not associated) ,PSU
00:21:5C:F8:2F:5A, 2018-05-25 14:13:21, 2018-05-25 14:23:23, -72,        6, (not associated) ,PSU
48:4B:AA:62:38:2D, 2018-05-25 14:20:28, 2018-05-25 14:23:23, -86,        5, 3E:7E:81:F1:F6:62,PSU Secure,xfinitywifi
36:31:66:06:EB:E0, 2018-05-25 14:23:10, 2018-05-25 14:23:11, -79,        3, (not associated) ,
B2:DF:31:EB:A3:BE, 2018-05-25 14:22:57, 2018-05-25 14:22:57, -65,        3, (not associated) ,
E6:0E:08:62:C7:F7, 2018-05-25 14:22:45, 2018-05-25 14:22:45, -70,        2, (not associated) ,
D2:C0:D4:41:88:68, 2018-05-25 14:22:46, 2018-05-25 14:22:46, -86,        2, (not associated) ,
AA:B0:68:E3:00:E0, 2018-05-25 14:22:32, 2018-05-25 14:22:37, -73,        5, (not associated) ,
EA:D7:6C:62:AE:ED, 2018-05-25 14:22:36, 2018-05-25 14:22:36, -85,        1, (not associated) ,
DA:A1:19:E5:63:C6, 2018-05-25 14:22:32, 2018-05-25 14:22:33, -86,        4, (not associated) ,
40:98:AD:B5:2F:C0, 2018-05-25 14:22:33, 2018-05-25 14:22:37, -89,        9, 00:00:00:00:00:00,
FA:5B:F6:E5:6C:D8, 2018-05-25 14:22:21, 2018-05-25 14:22:21, -64,        1, (not associated) ,
B8:63:4D:04:1A:9C, 2018-05-25 14:13:36, 2018-05-25 14:22:26, -75,      116, 00:26:CB:AA:DF:32,PSU Secure
42:ED:CF:8B:7E:67, 2018-05-25 14:22:09, 2018-05-25 14:22:09, -48,        1, (not associated) ,
06:1B:7F:A0:8C:8C, 2018-05-25 14:22:02, 2018-05-25 14:22:02, -51,        2, (not associated) ,
42:97:92:78:51:53, 2018-05-25 14:21:58, 2018-05-25 14:21:58, -74,        1, (not associated) ,
D0:31:69:B6:32:64, 2018-05-25 14:21:51, 2018-05-25 14:21:59, -77,        3, (not associated) ,
4A:15:FE:5F:37:8A, 2018-05-25 14:21:59, 2018-05-25 14:21:59, -80,        2, (not associated) ,
DA:A1:19:F1:20:99, 2018-05-25 14:22:00, 2018-05-25 14:22:00, -86,        1, (not associated) ,Plaza-Guest
5A:D1:D7:91:BB:B8, 2018-05-25 14:21:47, 2018-05-25 14:21:47, -81,        2, (not associated) ,
DA:A1:19:14:C0:77, 2018-05-25 14:21:49, 2018-05-25 14:21:49, -83,        1, (not associated) ,
10:A5:D0:CC:E1:FF, 2018-05-25 14:18:37, 2018-05-25 14:21:33,  -1,       80, 00:26:CB:AB:0B:62,
B6:03:0F:48:86:76, 2018-05-25 14:21:23, 2018-05-25 14:21:24, -76,        5, (not associated) ,
8E:1A:B9:68:A6:5C, 2018-05-25 14:21:14, 2018-05-25 14:21:14, -75,        1, (not associated) ,
DC:56:E7:5E:31:B0, 2018-05-25 14:18:41, 2018-05-25 14:20:48, -86,       10, 00:26:CB:AB:0B:62,PSU Secure
88:66:A5:77:25:33, 2018-05-25 14:19:41, 2018-05-25 14:20:33, -80,        9, 7C:95:F3:72:D8:92,PSU Secure
E4:2B:34:38:D0:8E, 2018-05-25 14:20:38, 2018-05-25 14:20:38, -86,        5, 20:BB:C0:F8:DB:40,
1A:13:1E:8D:3A:0F, 2018-05-25 14:20:23, 2018-05-25 14:20:23, -72,        3, (not associated) ,
A0:18:28:99:30:92, 2018-05-25 14:11:29, 2018-05-25 14:20:22, -86,        3, (not associated) ,PSU Secure
0E:C7:01:E9:93:23, 2018-05-25 14:20:09, 2018-05-25 14:20:10, -81,       31, (not associated) ,CVO Guest,Marriott_GUEST,xfinitywifi,Marriott Meeting,City of Eugene-Free Public WiFi,OHSU-Guest,Given Back2,Apple Store,hhonors,Sasquatch-Guest
9A:A2:70:68:BD:A5, 2018-05-25 14:20:11, 2018-05-25 14:20:11, -90,        1, (not associated) ,
92:BE:69:1E:AC:6A, 2018-05-25 14:19:57, 2018-05-25 14:19:58, -58,        4, (not associated) ,
B6:C4:96:26:53:9D, 2018-05-25 14:20:02, 2018-05-25 14:20:02, -88,        1, (not associated) ,
BE:35:11:B8:0E:4C, 2018-05-25 14:19:45, 2018-05-25 14:19:45, -48,        2, (not associated) ,TMobileWingman
D6:93:8F:14:24:BB, 2018-05-25 14:19:46, 2018-05-25 14:19:46, -85,        1, (not associated) ,
18:65:90:D3:C8:E7, 2018-05-25 14:19:45, 2018-05-25 14:19:45, -87,        1, (not associated) ,xfinitywifi
AE:62:D8:03:8F:5E, 2018-05-25 14:19:33, 2018-05-25 14:19:33, -64,        2, (not associated) ,
B8:C1:11:23:F2:4E, 2018-05-25 14:10:41, 2018-05-25 14:19:24,  -1,       30, 00:26:CB:AB:0B:60,
36:E1:11:A1:9A:AD, 2018-05-25 14:19:09, 2018-05-25 14:19:09, -71,        2, (not associated) ,
A0:D7:95:5F:E1:A8, 2018-05-25 14:18:06, 2018-05-25 14:19:09, -79,       83, 00:27:0D:07:54:10,PSU
AC:5F:3E:DC:D7:AB, 2018-05-25 14:18:37, 2018-05-25 14:19:12, -84,        3, (not associated) ,attwifibn
D6:F2:C0:41:7F:0D, 2018-05-25 14:19:14, 2018-05-25 14:19:14, -85,        6, (not associated) ,KaiserGuest,Marriott_GUEST,Marriott Meeting,2.4UnitedAcademics,City of Eugene-Free Public WiFi,Apple Store
C6:4A:E4:9C:61:5D, 2018-05-25 14:19:00, 2018-05-25 14:19:00, -70,        1, (not associated) ,
16:83:19:D1:50:D0, 2018-05-25 14:19:02, 2018-05-25 14:19:02, -73,        2, (not associated) ,
B0:48:1A:59:31:36, 2018-05-25 14:19:02, 2018-05-25 14:19:02, -85,        1, 7C:95:F3:72:D8:92,
6C:4D:73:59:9C:FD, 2018-05-25 14:07:30, 2018-05-25 14:19:01, -85,       52, 00:00:00:00:00:00,PSU
06:21:E6:5A:5C:70, 2018-05-25 14:18:46, 2018-05-25 14:18:46, -80,        5, (not associated) ,
30:6A:85:BC:33:A1, 2018-05-25 14:18:46, 2018-05-25 14:18:46, -86,        2, (not associated) ,
5E:AE:F5:71:91:9D, 2018-05-25 14:18:36, 2018-05-25 14:18:36, -70,        1, (not associated) ,
DA:A1:19:5E:EC:31, 2018-05-25 14:18:24, 2018-05-25 14:18:24, -68,        6, (not associated) ,
8A:18:83:84:5D:96, 2018-05-25 14:18:25, 2018-05-25 14:18:25, -73,        7, (not associated) ,
B4:F1:DA:A9:C9:1C, 2018-05-25 14:18:22, 2018-05-25 14:18:22, -82,        2, (not associated) ,
06:60:89:22:88:8D, 2018-05-25 14:18:13, 2018-05-25 14:18:13, -75,        6, (not associated) ,
F2:F4:77:66:D3:D1, 2018-05-25 14:18:09, 2018-05-25 14:18:10, -79,        2, (not associated) ,
DA:A1:19:6F:87:91, 2018-05-25 14:18:11, 2018-05-25 14:18:11, -86,        1, (not associated) ,
8A:6C:D0:6B:D8:40, 2018-05-25 14:17:57, 2018-05-25 14:17:57, -70,        2, (not associated) ,
A6:9A:6C:5F:B1:DA, 2018-05-25 14:17:49, 2018-05-25 14:17:49, -75,        3, (not associated) ,
78:3A:84:E6:02:47, 2018-05-25 14:10:05, 2018-05-25 14:17:46, -77,       34, 00:26:CB:AB:0B:60,PSU
9E:4C:E3:63:50:80, 2018-05-25 14:17:34, 2018-05-25 14:17:34, -89,        2, (not associated) ,
5A:30:AC:A1:C3:39, 2018-05-25 14:17:35, 2018-05-25 14:17:35, -93,        2, (not associated) ,
BA:E1:43:20:94:2C, 2018-05-25 14:17:22, 2018-05-25 14:17:22, -58,        2, (not associated) ,
7A:01:91:D5:E2:D2, 2018-05-25 14:17:26, 2018-05-25 14:17:26, -62,        3, (not associated) ,
52:46:2B:7A:82:8C, 2018-05-25 14:17:22, 2018-05-25 14:17:22, -62,        1, (not associated) ,
FE:99:A8:52:E9:E5, 2018-05-25 14:17:21, 2018-05-25 14:17:21, -64,        4, (not associated) ,
8E:B1:F2:FE:A9:AF, 2018-05-25 14:17:21, 2018-05-25 14:17:21, -66,        2, (not associated) ,
9E:75:DC:52:C4:79, 2018-05-25 14:17:24, 2018-05-25 14:17:24, -68,        3, (not associated) ,
FE:6A:5E:25:73:4B, 2018-05-25 14:17:22, 2018-05-25 14:17:22, -70,        2, (not associated) ,
FE:B2:BA:72:C1:3C, 2018-05-25 14:17:25, 2018-05-25 14:17:26, -87,        2, (not associated) ,
D4:A3:3D:DF:25:64, 2018-05-25 14:13:10, 2018-05-25 14:17:11, -75,      142, 00:26:CB:AB:0B:62,PSU Secure
E0:C7:67:BE:E3:62, 2018-05-25 14:11:06, 2018-05-25 14:17:14, -84,       61, 00:26:CB:AA:E4:42,PSU Secure
AC:5F:3E:43:62:A7, 2018-05-25 14:05:25, 2018-05-25 14:16:57, -57,       52, 00:26:CB:AB:0B:60,PSU
18:65:90:89:17:C2, 2018-05-25 14:16:02, 2018-05-25 14:16:46, -65,      175, 00:26:CB:AB:0B:60,PSU
DE:2C:F3:19:79:ED, 2018-05-25 14:16:37, 2018-05-25 14:16:37, -71,        3, (not associated) ,
3E:69:E4:19:BE:27, 2018-05-25 14:16:33, 2018-05-25 14:16:33, -79,        1, (not associated) ,
BE:94:8D:F6:1A:A9, 2018-05-25 14:16:22, 2018-05-25 14:16:22, -63,        3, (not associated) ,
B6:82:94:06:F5:6B, 2018-05-25 14:16:22, 2018-05-25 14:16:22, -78,        2, (not associated) ,
8C:F5:A3:8A:DB:D4, 2018-05-25 14:16:13, 2018-05-25 14:16:13, -69,        1, (not associated) ,
CE:1F:B1:DD:15:57, 2018-05-25 14:16:11, 2018-05-25 14:16:11, -73,        1, (not associated) ,
D6:C3:62:32:68:08, 2018-05-25 14:15:58, 2018-05-25 14:15:58, -77,        3, (not associated) ,
00:17:23:19:E8:07, 2018-05-25 14:15:58, 2018-05-25 14:15:58, -87,        1, (not associated) ,TMVBWN
86:66:D0:5D:24:28, 2018-05-25 14:15:46, 2018-05-25 14:15:46, -64,        2, (not associated) ,
26:AC:AC:66:86:8B, 2018-05-25 14:15:50, 2018-05-25 14:15:50, -68,        5, (not associated) ,
AC:37:43:51:CE:CE, 2018-05-25 14:11:39, 2018-05-25 14:15:48, -76,       75, 00:26:CB:AB:0A:30,PSU
F4:31:C3:6E:32:CE, 2018-05-25 14:15:38, 2018-05-25 14:15:38,  -1,        1, 00:26:CB:AB:0B:60,
40:4E:36:23:BF:2D, 2018-05-25 14:14:42, 2018-05-25 14:15:24, -79,       14, (not associated) ,BAM-GUEST,PSU
7A:66:20:4D:9D:55, 2018-05-25 14:15:09, 2018-05-25 14:15:09, -62,        1, (not associated) ,
02:94:F8:2D:47:E9, 2018-05-25 14:15:10, 2018-05-25 14:15:10, -63,        1, (not associated) ,
34:D2:70:BD:38:88, 2018-05-25 14:14:59, 2018-05-25 14:14:59,  -1,        1, 10:DA:43:CD:8C:B6,
96:AB:92:1D:9A:55, 2018-05-25 14:14:58, 2018-05-25 14:14:58, -62,        3, (not associated) ,
1A:1B:32:E0:83:BD, 2018-05-25 14:14:50, 2018-05-25 14:14:50, -66,        6, (not associated) ,
9A:43:82:B1:EA:14, 2018-05-25 14:14:50, 2018-05-25 14:14:50, -80,        2, (not associated) ,
B2:B1:C5:2E:99:7A, 2018-05-25 14:14:34, 2018-05-25 14:14:34, -64,        6, (not associated) ,TMobileWingman
9A:C5:B0:67:EB:19, 2018-05-25 14:14:33, 2018-05-25 14:14:33, -64,        2, (not associated) ,
AE:8C:38:55:28:EA, 2018-05-25 14:14:38, 2018-05-25 14:14:38, -66,        1, (not associated) ,
BE:76:04:F8:87:CF, 2018-05-25 14:14:34, 2018-05-25 14:14:34, -68,        1, (not associated) ,
0A:9C:DC:89:6B:92, 2018-05-25 14:13:47, 2018-05-25 14:14:25, -47,        4, (not associated) ,
C6:FA:17:77:63:D8, 2018-05-25 14:14:11, 2018-05-25 14:14:11, -58,        1, (not associated) ,
92:31:46:CE:74:CB, 2018-05-25 14:14:13, 2018-05-25 14:14:13, -59,        3, (not associated) ,
EA:C7:C1:31:65:2D, 2018-05-25 14:14:01, 2018-05-25 14:14:01, -80,        1, (not associated) ,
76:1C:00:FB:A6:3F, 2018-05-25 14:14:01, 2018-05-25 14:14:01, -82,        1, (not associated) ,
7A:67:62:BA:E5:D8, 2018-05-25 14:14:01, 2018-05-25 14:14:01, -85,        2, (not associated) ,
00:CD:FE:7A:FD:61, 2018-05-25 14:06:04, 2018-05-25 14:13:46, -75,        7, 00:27:0D:07:54:10,PSU
2E:7A:2A:5C:A6:BF, 2018-05-25 14:13:46, 2018-05-25 14:13:46, -77,        2, (not associated) ,TMobileWingman
56:CC:FF:C1:8E:59, 2018-05-25 14:13:26, 2018-05-25 14:13:26, -64,        3, (not associated) ,
10:CD:B6:01:CF:C8, 2018-05-25 14:12:59, 2018-05-25 14:13:11, -64,        2, (not associated) ,PSU
DA:A1:19:9A:3D:BF, 2018-05-25 14:12:24, 2018-05-25 14:12:24, -73,        7, (not associated) ,
C6:F8:4E:DC:A8:AB, 2018-05-25 14:12:23, 2018-05-25 14:12:23, -80,        1, (not associated) ,
94:65:2D:C6:4F:F7, 2018-05-25 14:12:10, 2018-05-25 14:12:10,  -1,        2, C4:7D:4F:53:12:02,
B8:63:4D:0B:EA:65, 2018-05-25 14:07:37, 2018-05-25 14:12:13,  -1,        3, 00:27:0D:07:54:10,
CA:ED:BA:B2:21:51, 2018-05-25 14:12:11, 2018-05-25 14:12:11, -88,        1, (not associated) ,
2A:68:A5:F0:FC:33, 2018-05-25 14:11:49, 2018-05-25 14:11:49, -75,        2, (not associated) ,
DC:A9:04:3E:7E:23, 2018-05-25 14:10:40, 2018-05-25 14:11:46, -79,       13, 00:26:CB:AB:0A:32,PSU Secure
D8:8F:76:93:D5:54, 2018-05-25 14:05:37, 2018-05-25 14:11:37, -67,       16, 00:26:CB:AA:E4:40,PSU
